user,day,total_logons,after_hours_logons,weekend_logons,distinct_pcs_accessed,files_accessed,after_hours_files,emails_sent,external_emails,after_hours_emails,web_visits,suspicious_web_clicks,after_hours_web,device_activity,after_hours_device,total_after_hours,label,is_new,logon_change,file_change,email_change,logon_zscore,file_zscore,email_zscore,anomaly_score,anomaly,rolling_anomaly,temporal_flag,user_prediction,final_flag
0033828af037921c2e1fbdfe173e788d34c72a2a3238ad3847c6c7b24c865a63,2010-09-02,2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0.0,0.0,-0.6744716434349753,-0.1965102704747904,0,0.0,0,0,0
0033828af037921c2e1fbdfe173e788d34c72a2a3238ad3847c6c7b24c865a63,2010-09-03,2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0.0,0.0,-0.6744716434349753,-0.1965102704747904,0,0.0,0,0,0
0033828af037921c2e1fbdfe173e788d34c72a2a3238ad3847c6c7b24c865a63,2010-09-07,2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0.0,0.0,-0.6744716434349753,-0.1965102704747904,0,0.0,0,0,0
0033828af037921c2e1fbdfe173e788d34c72a2a3238ad3847c6c7b24c865a63,2010-09-08,2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0.0,0.0,-0.6744716434349753,-0.1965102704747904,0,0.0,0,0,0
0033828af037921c2e1fbdfe173e788d34c72a2a3238ad3847c6c7b24c865a63,2010-09-09,2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0.0,0.0,-0.6744716434349753,-0.1965102704747904,0,0.0,0,0,0
0033828af037921c2e1fbdfe173e788d34c72a2a3238ad3847c6c7b24c865a63,2010-09-10,2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0.0,0.0,-0.6744716434349753,-0.1965102704747904,0,0.0,0,0,0
0033828af037921c2e1fbdfe173e788d34c72a2a3238ad3847c6c7b24c865a63,2010-09-13,2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0.0,0.0,-0.6744716434349753,-0.1965102704747904,0,0.0,0,0,0
0033828af037921c2e1fbdfe173e788d34c72a2a3238ad3847c6c7b24c865a63,2010-09-14,2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0.0,0.0,-0.6744716434349753,-0.1965102704747904,0,0.0,0,0,0
0033828af037921c2e1fbdfe173e788d34c72a2a3238ad3847c6c7b24c865a63,2010-09-15,2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0.0,0.0,-0.6744716434349753,-0.1965102704747904,0,0.0,0,0,0
0033828af037921c2e1fbdfe173e788d34c72a2a3238ad3847c6c7b24c865a63,2010-09-16,2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0.0,0.0,-0.6744716434349753,-0.1965102704747904,0,0.0,0,0,0
0033828af037921c2e1fbdfe173e788d34c72a2a3238ad3847c6c7b24c865a63,2010-09-17,2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0.0,0.0,-0.6744716434349753,-0.1965102704747904,0,0.0,0,0,0
0033828af037921c2e1fbdfe173e788d34c72a2a3238ad3847c6c7b24c865a63,2010-09-20,2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0.0,0.0,-0.6744716434349753,-0.1965102704747904,0,0.0,0,0,0
0033828af037921c2e1fbdfe173e788d34c72a2a3238ad3847c6c7b24c865a63,2010-09-21,2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0.0,0.0,-0.6744716434349753,-0.1965102704747904,0,0.0,0,0,0
0033828af037921c2e1fbdfe173e788d34c72a2a3238ad3847c6c7b24c865a63,2010-09-22,2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0.0,0.0,-0.6744716434349753,-0.1965102704747904,0,0.0,0,0,0
0033828af037921c2e1fbdfe173e788d34c72a2a3238ad3847c6c7b24c865a63,2010-09-23,2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0.0,0.0,-0.6744716434349753,-0.1965102704747904,0,0.0,0,0,0
0033828af037921c2e1fbdfe173e788d34c72a2a3238ad3847c6c7b24c865a63,2010-09-24,2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0.0,0.0,-0.6744716434349753,-0.1965102704747904,0,0.0,0,0,0
0033828af037921c2e1fbdfe173e788d34c72a2a3238ad3847c6c7b24c865a63,2010-09-27,2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0.0,0.0,-0.6744716434349753,-0.1965102704747904,0,0.0,0,0,0
0033828af037921c2e1fbdfe173e788d34c72a2a3238ad3847c6c7b24c865a63,2010-09-28,2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,0.0,0.0,0.0,0.0,0.0,-0.6744716434349753,-0.1965102704747904,0,0.0,0,0,0
